"Clade","Model","lamda","AICc","AW"
"Rosales","bvar.l.dcst",0.462068879,5900.634054,4.35363638368159e-207
"Rosales","bcst.dvar",4.129662093,4958.877546,0.0137619353819879
"Rosales","bcst.dvar.l",4.129392637,4958.906934,0.0135611959479594
"Rosales","bvar.dvar",4.609889289,4950.388931,0.959309711571653
"Sapindales","bcst.d0",0.199757813,6175.319956,5.00750719452604e-97
"Sapindales","bcst.dcst",0.762116465,5746.997977,0.000511160823023656
"Sapindales","bvar.d0",0.337286189,5790.978761,1.43963255920294e-13
"Sapindales","bvar.l.d0",0.277636014,5848.499027,4.65462394705435e-26
"Sapindales","bvar.dcst",0.675713564,5735.512879,0.15940975836989
"Sapindales","bvar.l.dcst",0.682490843,5736.12704,0.117260444689519
"Sapindales","bcst.dvar",0.687847778,5736.641626,0.0906589336954634
"Sapindales","bcst.dvar.l",0.682554299,5736.123638,0.117460074442923
"Sapindales","bvar.dvar",0.638208614,5733.168668,0.514699627979038
"Zygophyllales","bcst.d0",0.081070313,415.5112443,1.23385969875587e-07
"Zygophyllales","bcst.dcst",0.417999659,385.4232092,0.421501948722565
"Zygophyllales","bvar.d0",0.161126193,391.7703443,0.0176415488627532
"Zygophyllales","bvar.l.d0",0.133521097,388.3088882,0.0995823460847372
"Zygophyllales","bvar.dcst",0.161160093,394.0557553,0.0056268588219386
"Zygophyllales","bvar.l.dcst",0.401112526,387.6487458,0.138525732242542
"Zygophyllales","bcst.dvar",0.40162865,387.6493056,0.138486964315911
"Zygophyllales","bcst.dvar.l",0.401097631,387.6487511,0.138525365149834
"Zygophyllales","bvar.dvar",0.385350789,390.1276509,0.0401091124137489
"Vitales","bcst.d0",0.142453125,445.4461473,1.38124162264881e-24
"Vitales","bcst.dcst",3.731421522,347.6227687,0.00241182848751196
"Vitales","bvar.d0",0.363306567,395.915845,7.86390294648915e-14
"Vitales","bvar.l.d0",0.221077448,410.6484029,4.97168775134078e-17
"Vitales","bvar.dcst",4.203513313,349.101247,0.00115159278937598
"Vitales","bvar.l.dcst",4.204629302,349.0937704,0.00115590584542636
"Vitales","bcst.dvar",4.212999757,349.0859205,0.00116045163323355
"Vitales","bcst.dvar.l",4.209685923,349.0937551,0.00115591468813988
"Vitales","bvar.dvar",11.21427939,335.5821496,0.992964306556234
